# witness	class	message — produced by the gen #30 census sweep (every `# pycsl-expected: FAIL` corpus witness run through the pipeline).
0508.py	REFUSAL	Undefined variable 'COUNTER' referenced in contract for function 'get_counter'. Available variables in scope: []
0509.py	REFUSAL	\length is not supported on the dict-typed 'd' in function 'sum_first_two': dicts/sets are modelled as total maps (`map int (option int)`) with no cardinality. Use \has_key(d, k) for key presence, or a list/array for a length-bearing collection.
0516.py	REFUSAL	Function 'identity': a memoizing decorator (lru_cache / cache / cached_property) requires a referentially transparent function, but it is not pure (requires `#@ assigns \nothing`, and no `\trusted` / `\diverges`). Memoizing it is unsound — the cache would return values inconsistent with the verified body (UB-7.7). See config/skills/pycsl-ub-catalog/SKILL.md §7.7.
0518.py	VERIFY-FAIL	
0525.py	VERIFY-FAIL	
0544.py	REFUSAL	Mutable default argument in function 'f': a list/dict/set default is a single object shared across all calls (a shared-aliasing bug) and is outside PyCSL's value-semantics boundary (ownership discipline R2). Use a `None` sentinel and initialise the collection in the body.
0550.py	REFUSAL	Mixin composition 'Facade': dependency 'emit' (declared by mixin 'MapOps' via #@ depends_method) has NO provider among the composed mixins ['MapOps']. Every dependency needs exactly one provider — add a mixin that `#@ provides emit`.
0551.py	REFUSAL	Mixin 'CoreEmit' (composed into 'Facade'): a method writes `self.cache`, a field declared neither `#@ shared_state` nor `#@ touches_field` nor initialised in __init__. Declare every field a mixin touches so composition can reason about it.
0552.py	REFUSAL	Mixin composition 'Facade': method 'emit' is provided by more than one mixin (CoreEmit, AltEmit) — an unresolved collision. Resolve it with `#@ resolve emit from <Mixin>` (Tier 2); composition never silently picks a provider.
0556.py	REFUSAL	Quantifier binder 'x: Bogus' in function 'f' has an unresolved type 'Bogus'. A typed binder must name a scalar (int/bool/str/float) or a declared `#@ datatype` / class — it is never silently defaulted to int. Known types: ['bool', 'bytearray', 'bytes', 'dict', 'float', 'int', 'list', 'str'].
0557.py	VERIFY-FAIL	
0560.py	VERIFY-FAIL	
0561.py	VERIFY-FAIL	
0563.py	VERIFY-FAIL	
0567.py	VERIFY-FAIL	
0569.py	VERIFY-FAIL	
0571.py	REFUSAL	`#@ lemma` 'leaky' calls `\trusted` function 'opaque': a checked lemma may not rest on an unverified (trusted) fact — that would smuggle an unchecked axiom into a 'proved' lemma.
0575.py	VERIFY-FAIL	
0577.py	VERIFY-FAIL	
0579.py	VERIFY-FAIL	
0580.py	REFUSAL	cannot inline recursive method 'counter__loop' on global 'cnt': a recursive method is verified by contract + `#@ \variant`, not by inlining (inline.md Phase 3).
0586.py	VERIFY-FAIL	
0589.py	VERIFY-FAIL	
0591.py	VERIFY-FAIL	
0592.py	REFUSAL	call to 'clamp_seek' passes 1 positional argument(s) but parameter 'how' has no default (arity 3).
0594.py	VERIFY-FAIL	
0596.py	VERIFY-FAIL	
0601.py	VERIFY-FAIL	
0608.py	VERIFY-FAIL	
0610.py	VERIFY-FAIL	
0612.py	VERIFY-FAIL	
0613.py	REFUSAL	`happy own`: aliasing the protected base 'g' into a local in non-exempt 'evade' is forbidden — it would evade confinement. Write through the canonical protected path, or add the method to the `except` set if it is an owner.
0615.py	VERIFY-FAIL	
0622.py	VERIFY-FAIL	
0625.py	VERIFY-FAIL	
0631.py	VERIFY-FAIL	
0633.py	VERIFY-FAIL	
0634.py	VERIFY-FAIL	
0636.py	VERIFY-FAIL	
0637.py	VERIFY-FAIL	
0638.py	VERIFY-FAIL	
0639.py	VERIFY-FAIL	
0643.py	REFUSAL	a name's runtime value is not the one the model reads (a constant `exec` naming a builtin, an imported name or a constant at line 13). An imported name bound twice keeps the FIRST import (measured: `from plainlib import inc` then `from starlib import inc` proved the plainlib contract); a builtin rebound by an assignment is still lowered as the builtin (`len = sum` then `len([5]) == 1` proved); a module or class constant is folded to its first literal although it is rebound or mutated (`N = 3; N += 2` proved `N == 3`); a def nested in a method replaces the method of the same name; a DYNAMIC `exec`, or an `eval` that binds through a walrus, rebinds names into the module namespace and no part of the model sees the new value (`exec("N" + " = 5")` proved `N == 3`); and an attribute written at module or class-body scope must have a receiver this file can describe — a lambda parameter, a comprehension target and an imported module are not (`(lambda m: setattr(m, "inc", other))(mod)` proved the original `inc`). Give each binding its own name, treat a folded constant as immutable, and keep a dynamic `exec`/`eval` out of module and class-body scope.
0644.py	REFUSAL	`happy region_integrity`: method 'run' contains a dynamic `exec(...)`, which may write anything (not a compile-time-constant exec, so it cannot be spliced/bounded). A non-exempt dynamic-exec method cannot be confined by this property — add it to the except set or remove the exec. (07-1839 P5 — exec is a worst-case mutator under HAPPY.)
0667.py	REFUSAL	\length is not supported on the dict-typed 'd' in function 'f': dicts/sets are modelled as total maps (`map int (option int)`) with no cardinality. Use \has_key(d, k) for key presence, or a list/array for a length-bearing collection.
0668.py	REFUSAL	\length is not supported on the dict-typed 'd' in while loop at line 16 inside function 'f': dicts/sets are modelled as total maps (`map int (option int)`) with no cardinality. Use \has_key(d, k) for key presence, or a list/array for a length-bearing collection.
0669.py	REFUSAL	\length is not supported on the dict-typed 'd' in function 'f' (ghost 'g'): dicts/sets are modelled as total maps (`map int (option int)`) with no cardinality. Use \has_key(d, k) for key presence, or a list/array for a length-bearing collection.
0670.py	REFUSAL	\valid base 'n' is not a list/bytes parameter in function 'f' (got type 'int').
0671.py	REFUSAL	\separated base 'a' is not a list/bytes parameter in function 'f' (got type 'int').
0672.py	REFUSAL	\length is not supported on the dict-typed 'd' in function 'f' (ghost 'g[...]'): dicts/sets are modelled as total maps (`map int (option int)`) with no cardinality. Use \has_key(d, k) for key presence, or a list/array for a length-bearing collection.
0673.py	REFUSAL	\length is not supported on the dict-typed 'd' in while loop at line 15 inside function 'f': dicts/sets are modelled as total maps (`map int (option int)`) with no cardinality. Use \has_key(d, k) for key presence, or a list/array for a length-bearing collection.
0674.py	REFUSAL	Quantifier binder 'x: Bogus' in while loop at line 14 inside function 'f' has an unresolved type 'Bogus'. A typed binder must name a scalar (int/bool/str/float) or a declared `#@ datatype` / class — it is never silently defaulted to int. Known types: ['bool', 'bytearray', 'bytes', 'dict', 'float', 'int', 'list', 'str'].
0675.py	REFUSAL	Quantifier binder 'x: Bogus' in function 'f' (ghost 'g') has an unresolved type 'Bogus'. A typed binder must name a scalar (int/bool/str/float) or a declared `#@ datatype` / class — it is never silently defaulted to int. Known types: ['bool', 'bytearray', 'bytes', 'dict', 'float', 'int', 'list', 'str'].
0676.py	REFUSAL	\proj index must be an integer literal in function 'f'. Dynamic projection is not supported.
0677.py	REFUSAL	\proj index must be an integer literal in function 'f'. Dynamic projection is not supported.
0678.py	REFUSAL	Subscript assignment to non-list/dict variable 'n' (type 'int') in function 'f'.
0679.py	REFUSAL	Subscript assignment to undefined variable 'nope' in function 'f'.
0680.py	REFUSAL	'\result' is not allowed in a `#@ assert` in function 'f' (it is bound only at return; use `ensures` for return values).
0681.py	REFUSAL	'\result' is not allowed in a `#@ check` in function 'f' (it is bound only at return; use `ensures` for return values).
0682.py	REFUSAL	Mutable default argument in function 'f': a list/dict/set default is a single object shared across all calls (a shared-aliasing bug) and is outside PyCSL's value-semantics boundary (ownership discipline R2). Use a `None` sentinel and initialise the collection in the body.
0683.py	REFUSAL	Mutable default argument in function 'f': a list/dict/set default is a single object shared across all calls (a shared-aliasing bug) and is outside PyCSL's value-semantics boundary (ownership discipline R2). Use a `None` sentinel and initialise the collection in the body.
0684.py	REFUSAL	duplicate act name 'b' in function 'f'.
0685.py	REFUSAL	act 'b' in function 'f': '\result' is not allowed in a 'given' guard (guards are evaluated in the pre-state).
0686.py	REFUSAL	`complete` in function 'f' references undefined act 'nope'.
0687.py	REFUSAL	`happy region_integrity`: exempt function 'nosuchmethod' is not a method in this module. Known methods: ['__init__', '_write_meta']. A typo in the exempt set would silently widen the property's coverage, so this is rejected.
0688.py	REFUSAL	Invalid use of '\result' in function 'f'. It is only allowed in 'ensures'.
0689.py	REFUSAL	Undefined variable 'nope' referenced in contract for function 'f'. Available variables in scope: ['x']
0690.py	REFUSAL	Undefined variable 'nope' referenced in contract for function 'f'. Available variables in scope: ['a', 'n']
0691.py	REFUSAL	Mutex invariant for 'lock_counter': variable 'bogus_unshared_variable' is not a shared variable protected by 'lock_counter'. Protected variables: ['counter'].
0692.py	REFUSAL	Undefined variable 'nosuchvar' referenced in contract for for loop at line 17 inside function 'f'. Available variables in scope: ['n', 's', 'i']
0693.py	REFUSAL	\proj index must be an integer literal in function 'f'. Dynamic projection is not supported.
0694.py	REFUSAL	\length is not supported on the dict-typed 'd' in for loop at line 17 inside function 'f': dicts/sets are modelled as total maps (`map int (option int)`) with no cardinality. Use \has_key(d, k) for key presence, or a list/array for a length-bearing collection.
0695.py	REFUSAL	`#@ \diverges` on function 'straight_line' is not justified: its body has no potentially-diverging construct (no critical section / lock-acquire, no loop, no call/recursion). A straight-line body provably terminates, so Why3 rejects the `diverges` effect ("this expression does not diverge"). Remove `#@ \diverges`, or give the body a construct that can actually block or loop.
0716.py	VERIFY-FAIL	
0717.py	REFUSAL	`happy key_confine`: aliasing the protected field 'self.disk' into a local in non-exempt 'sneaky' is forbidden — a read through the alias would evade the read-confinement check. Read through self.disk directly, or add 'sneaky' to `except`.
0718.py	REFUSAL	`happy key_confine`: trusted/abstract function 'opaque_reader' is not exempt and has no checkable body, so it could read the protected region [0, 64) of self.disk. List it in `except` if it is a legitimate reader.
0720.py	VERIFY-FAIL	
0722.py	VERIFY-FAIL	
0724.py	VERIFY-FAIL	
0725.py	VERIFY-FAIL	
0727.py	REFUSAL	`happy availability`: total target 'parse' is marked `#@ \diverges` — it opts OUT of termination, contradicting the totality (H-D) claim. Remove `\diverges`, or drop the `total` policy.
0728.py	VERIFY-FAIL	
0730.py	VERIFY-FAIL	
0733.py	REFUSAL	: Literal: bytes literals are not supported (L4a / PEP 586)
0735.py	REFUSAL	Final: cannot reassign Final name 'x' in function 'f' (F1 — write-once at declaration; PEP 591). The name is declared `Final` at module/class scope and may be written only at its declaration.
0737.py	REFUSAL	Final: cannot write Final instance attribute 'self.attr' in function 'c__m' (F2 — __init__-only writes; PEP 591). The attribute is declared `Final` and may be written only in the declaring class's __init__.
0739.py	REFUSAL	`-> NoReturn` on function 'bad' is not justified: its body contains a `return` statement (a normal-exit path). A NoReturn function must never return normally — every path must raise or diverge (NR2a / PEP 484). Remove `-> NoReturn`, or eliminate the normal return (raise instead, or call another NoReturn function).
0740.py	REFUSAL	Dead code in function 'caller': this statement follows a call to a `NoReturn` function, which never returns normally (NR3 / PEP 484). The continuation path is unreachable. Remove the dead statement, or move it before the NoReturn call.
0752.py	VERIFY-FAIL	
0754.py	VERIFY-FAIL	
0758.py	VERIFY-FAIL	
0764.py	VERIFY-FAIL	
0768.py	VERIFY-FAIL	
0771.py	VERIFY-FAIL	
0776.py	VERIFY-FAIL	
0780.py	VERIFY-FAIL	
0781.py	VERIFY-FAIL	
0782.py	REFUSAL	struct format '@i': native size/alignment ('@' prefix) is unsupported (UB-7.4b). Native layout is platform-dependent, so PyCSL cannot soundly model its size or round-trip. Use an explicit standard-size byte-order prefix ('<', '>', '=', or '!').
0784.py	VERIFY-FAIL	
0786.py	VERIFY-FAIL	
0788.py	VERIFY-FAIL	
0790.py	VERIFY-FAIL	
0793.py	VERIFY-FAIL	
0794.py	VERIFY-FAIL	
0796.py	VERIFY-FAIL	
0801.py	VERIFY-FAIL	
0806.py	VERIFY-FAIL	
0807.py	VERIFY-FAIL	
0809.py	VERIFY-FAIL	
0812.py	VERIFY-FAIL	
0814.py	VERIFY-FAIL	
0816.py	VERIFY-FAIL	
0819.py	VERIFY-FAIL	
0825.py	VERIFY-FAIL	
0828.py	VERIFY-FAIL	
0831.py	VERIFY-FAIL	
0834.py	VERIFY-FAIL	
0837.py	VERIFY-FAIL	
0838.py	REFUSAL	Subscript assignment to immutable 'bytes' variable 'b' in function 'write_byte_UNSOUND' — a Python `bytes` object does not support item assignment (TypeError). Use a `bytearray` for a mutable byte buffer.
0840.py	VERIFY-FAIL	
0842.py	VERIFY-FAIL	
0844.py	VERIFY-FAIL	
0846.py	VERIFY-FAIL	
0848.py	VERIFY-FAIL	
0849.py	VERIFY-FAIL	
0851.py	REFUSAL	heterogeneous list literal (contains a str element mixed with other element types) has no faithful WhyML `array` element type: a Python list is heterogeneous but a WhyML `array` is homogeneous. Coercing the non-int element to an int would be unsound (a str hashes to a well-typed int; a float/record ill-types). Use a homogeneous list, a Tuple (fixed-arity heterogeneous slots), or a record/@dataclass for heterogeneous fields.
0852.py	REFUSAL	heterogeneous list literal (contains a float element mixed with other element types) has no faithful WhyML `array` element type: a Python list is heterogeneous but a WhyML `array` is homogeneous. Coercing the non-int element to an int would be unsound (a str hashes to a well-typed int; a float/record ill-types). Use a homogeneous list, a Tuple (fixed-arity heterogeneous slots), or a record/@dataclass for heterogeneous fields.
0853.py	REFUSAL	heterogeneous list literal (contains a record (Point) element mixed with other element types) has no faithful WhyML `array` element type: a Python list is heterogeneous but a WhyML `array` is homogeneous. Coercing the non-int element to an int would be unsound (a str hashes to a well-typed int; a float/record ill-types). Use a homogeneous list, a Tuple (fixed-arity heterogeneous slots), or a record/@dataclass for heterogeneous fields.
0856.py	REFUSAL	[module6-whyml]: in-place mutation of dict/set parameter 'd' (`del d[...]`) is out of scope: Python mutates a dict/set argument BY REFERENCE, so the write must be visible to the caller — a faithful model requires a caller-visible mutation frame (`writes {d}`) that PyCSL's by-value map parameter does not provide (the SAME boundary as record-param and nested-list inner mutation). Rework the function to RETURN the updated collection (`d = f(d)`), or mutate a LOCAL copy — a local dict/set write-read-back is faithfully modelled and proves.
0857.py	VERIFY-FAIL	
0860.py	VERIFY-FAIL	
0861.py	REFUSAL	[ir-emit]: in-place field mutation `<Subscript base>.x = ...` is out of scope: a record reached through a subscript/nested base (e.g. a `List[<record>]` element `a[i].x`) is modelled as a PURE (immutable) record — Why3 forbids a mutable element inside `array`, so the field store cannot be made caller-visible. Rebuild the element (`a[i] = Record(...)`) or mutate a local record and store it back.
0863.py	VERIFY-FAIL	
0866.py	VERIFY-FAIL	
0868.py	VERIFY-FAIL	
0870.py	VERIFY-FAIL	
0871.py	VERIFY-FAIL	
0873.py	VERIFY-FAIL	
0875.py	VERIFY-FAIL	
0877.py	VERIFY-FAIL	
0879.py	VERIFY-FAIL	
0881.py	VERIFY-FAIL	
0884.py	VERIFY-FAIL	
0894.py	VERIFY-FAIL	
0901.py	VERIFY-FAIL	
0937_any_genexp_fold_evil_twin.py	VERIFY-FAIL	
0939_spec_genexp_evil_twin.py	VERIFY-FAIL	
0973_except_star_refused.py	REFUSAL	`try ... except*` (an exception-GROUP handler) is not modelled: `_PY_STMT_HANDLERS` has no `TryStar` entry and `_py_stmts_to_ir` falls through with no `else`, so the WHOLE statement — body, handlers, `else` and `finally` — is silently DROPPED from the model. Measured before this refusal: `try: x = 2 except* ValueError: x = 3` under `ensures \result == 1` proved SUCCESS while Python returns 2. Rewrite with a plain `except`.
0974_async_contract_refused.py	REFUSAL	Coroutine 'm' (line 45) carries a `#@` contract, but `async def` is NOT MODELLED: the weaver attaches contracts only to `FunctionDef`, and the IR emitter has no `AsyncFunctionDef` visitor, so both the contract and the whole coroutine body would be silently DROPPED while the run still reports 'All contracts formally proven'. Remove the contract, or make the function synchronous.
0975_misplaced_directive_refused.py	REFUSAL	line 33: a `CheckPoint` directive is attached to a FunctionDef anchor ('f'), which does not consume it — the clause would be SILENTLY DISCARDED while the run still reported 'All contracts formally proven'. A `#@` block binds to the node that FOLLOWS it: move it directly above the `def`/`class`/loop it describes.
0977_nonlocal_refused.py	REFUSAL	function 'inner' writes x through a `nonlocal` declaration, and no certified lowering models it. `nonlocal` has no IR statement: the nested `def` is lifted to a sibling function, so the write would land on a FRESH LOCAL and be SILENTLY INVISIBLE to the enclosing function, while the run still reported 'All contracts formally proven'. Return the value from the nested function instead of assigning through the closure.
0978_eof_stmt_directive_refused.py	REFUSAL	line 36: this `#@` contract block has nothing after it to attach to (it runs to end-of-file), so it would be SILENTLY DISCARDED while the run still reports 'All contracts formally proven'. Move it directly above the `def`/`class` it describes, or delete it. (Directives: assert.)
0979_continuation_directive_refused.py	REFUSAL	[Module1]: line 43: this `#@` directive sits INSIDE the continuation lines of the statement that begins on line 42, where it would be SILENTLY DISCARDED while the run still reports 'All contracts formally proven' (a directive is associated with the statement that FOLLOWS it, and a statement already in progress cannot follow it). Move it to its own line above that statement.
0980_self_field_mutator_refused.py	REFUSAL	`self.xs.reverse(...)` MUTATES its receiver in place, and no certified lowering models it: the call becomes an abstract operation that takes NEITHER the receiver NOR a `writes` clause, so the mutation would be SILENTLY ABSENT from the model while the run still reported 'All contracts formally proven' — the method would satisfy `#@ assigns \nothing`, satisfy its emitted frame-preservation `ensures`, and re-establish the class invariant. Rewrite the mutation as an indexed store (`self.xs[i] = v`), or mark the enclosing function `#@ \trusted`.
0981_self_field_append_refused.py	REFUSAL	`self.xs.append(...)` appends to the collection in the field `xs`, and no certified lowering models it: the append is emitted against a FRESH LOCAL array with no write-back, so `self.xs` would be UNCHANGED in the model while the run still reported 'All contracts formally proven' — the method would satisfy `#@ assigns \nothing`, satisfy its emitted frame-preservation `ensures`, and re-establish a `\length` class invariant. Rewrite it as an indexed store, or mark the method `#@ \trusted`.
0982_local_list_mutator_refused.py	REFUSAL	`xs.reverse(...)` MUTATES its receiver in place, and no certified lowering models it: the call becomes an abstract operation that takes NEITHER the receiver NOR a `writes` clause, so the mutation would be SILENTLY ABSENT from the model while the run still reported 'All contracts formally proven' — the method would satisfy `#@ assigns \nothing`, satisfy its emitted frame-preservation `ensures`, and re-establish the class invariant. Rewrite the mutation as an indexed store (`xs[i] = v`), or mark the enclosing function `#@ \trusted`.
0983_param_list_mutator_refused.py	REFUSAL	`ys.reverse(...)` MUTATES its receiver in place, and no certified lowering models it: the call becomes an abstract operation that takes NEITHER the receiver NOR a `writes` clause, so the mutation would be SILENTLY ABSENT from the model while the run still reported 'All contracts formally proven' — the method would satisfy `#@ assigns \nothing`, satisfy its emitted frame-preservation `ensures`, and re-establish the class invariant. Rewrite the mutation as an indexed store (`ys[i] = v`), or mark the enclosing function `#@ \trusted`.
0984_assert_in_try_refused.py	REFUSAL	a Python `assert` inside a `try` whose handler can catch `AssertionError` is not modelled: the `assert` is lowered to a NO-OP, so the handler branch is DEAD in the model while it is the branch Python takes, and the run would still report 'All contracts formally proven'. Measured: `try: assert 1 == 2; return 1 / except AssertionError: return 2` proved `\result == 1` while Python returns 2. The same holds when the `assert` is in a CALLEE reached from the `try` body — measured too. Use an explicit `if not <cond>: raise AssertionError(...)`, or move the `assert` out of the `try`.
0985_del_list_subscript_refused.py	REFUSAL	`del xs[...]` on a non-dict/set receiver is not modelled: Python's list `del` SHIFTS every later element left and SHRINKS the sequence, and the lowering here is a NO-OP, so the model would keep the original sequence while the run still reported 'All contracts formally proven'. Measured: `xs = [1, 2, 3]; del xs[0]; return xs[0]` proved `\result == 1` while Python returns 2. Rewrite the deletion as an explicit shift loop, or use a dict/set.
0986_array_local_reassign_refused.py	REFUSAL	reassigning an array LOCAL from a non-literal right-hand side is not modelled: the local is represented as a fixed `Array.make` plus a length counter, not a rebindable reference, so the assignment would be a NO-OP and every later read of that local would be answered from its OLD value while the run still reported 'All contracts formally proven'. Measured: `xs = [1, 2]; xs = ys; return xs[0]` proved `\result == 1` for a parameter `ys`. Assign to a FRESH name, or build the new contents with a literal or an explicit element-wise loop.
0987_array_local_alias_refused.py	REFUSAL	reassigning an array LOCAL from a non-literal right-hand side is not modelled: the local is represented as a fixed `Array.make` plus a length counter, not a rebindable reference, so the assignment would be a NO-OP and every later read of that local would be answered from its OLD value while the run still reported 'All contracts formally proven'. Measured: `xs = [1, 2]; xs = ys; return xs[0]` proved `\result == 1` for a parameter `ys`. Assign to a FRESH name, or build the new contents with a literal or an explicit element-wise loop.
0988_contract_named_param_mutation_refused.py	REFUSAL	`s.add(...)` mutates the collection PARAMETER `s`, which this function's own contract also NAMES. The mutation of a by-value collection parameter is lowered to a NO-OP here, so the contract would be checked against a model in which the mutation never happened and the run would still report 'All contracts formally proven'. Measured: `#@ requires 1 not in s` / `#@ ensures 1 not in s` over a body `s.add(1)` proved SUCCESS. Return the updated collection instead, or drop the parameter from the contract.
0989_with_as_binding_refused.py	REFUSAL	function 'f' binds v with a `with ... as` clause, and no certified lowering models it. `_py_stmt_with` reads only the `with` BODY: the context-manager expression and the `as` binding are both DROPPED, so the body would run against the PRE-`with` value of the name while the run still reported 'All contracts formally proven'. Measured: `v = 0; with CM() as v: return v` proved `\result == 0` while Python returns 7. Call `__enter__` explicitly and assign its result, or use a bare `with <lock>:` (which IS modelled, as a critical section).
0990_try_finally_with_handlers_refused.py	REFUSAL	a `try ... except ... finally:` is not modelled: this lowering reads the try BODY and the HANDLERS and neither the `finally` nor the `else` block, so the `finally` would be silently DROPPED while the run still reported 'All contracts formally proven'. Measured: `try: x = 2 / except ValueError: x = 9 / finally: x = 3 / return x` proved `\result == 2` while Python returns 3. A `try ... finally:` with NO handlers IS modelled — split the statement, or move the cleanup after the `try`.
0991_getattr_declared_field_erasure.py	VERIFY-FAIL	
0993_augassign_subscript_base_refused.py	REFUSAL	[ir-emit]: augmented assignment to a field of a SUBSCRIPTED base, `a[i].v op= v` is not modelled: this lowering handles `x op= v`, `self.f op= v`, `p.f op= v` (p a local/param) and `a[k] op= v`, and SILENTLY DROPPED everything else — so the mutation vanished from the model while the run still reported 'All contracts formally proven'. Measured: `self.items[0].v += 5` then `ensures \result == 0` proved, while Python returns 5. Rewrite it as an explicit assignment (`a[i] = Record(...)`, or mutate a local record and store it back), which is the same repair the plain `a[i].f = v` form already asks for.
0994_augassign_local_record_field_erasure.py	VERIFY-FAIL	
0996_dynamic_call_literal_erasure.py	REFUSAL	[whyml]: the truthiness of `o` is not modelled: it is bound to an expression the model does not represent, which this lowering emits as a value that is not the object (the literal `0`, or since route #115 an unconstrained int for an unrepresented expression). Testing it could be decidably FALSE in the model while the Python object is ALWAYS truthy — measured, `if <it>: return 7` proved `\result == 0` where Python returns 7. Reading the value is fine (every projection off it is abstract); only the guard is unsound. Test something the model carries instead — `len(...) > 0`, a membership `k in ...`, or an element.
