# trusted-reasons.tsv — WHY each live `#@ \trusted` marker in src/self-annotate/src is trusted.
#
# OUT OF BAND ON PURPOSE. A token on the marker line makes Module2 REFUSE THE WHOLE FILE (no .mlw,
# a false green in a common-files byte diff) — see
# getting-better/open-routes/finding-reason-token-refuses-the-whole-file.md. Never tag the marker.
#
# Held in lock-step with the markers by bin/check-trusted-reasons.py (both directions, grammar,
# cite, zero-input guard, MAX_UNCLASSIFIED ratchet). Fix drift with
#   bin/check-trusted-reasons.py --sync            (print rows to add / delete)
#   bin/check-trusted-reasons.py --sync --write    (apply; surviving rows keep their reason)
#
# SCHEMA: file<TAB>qualname<TAB>reason<TAB>cite, one row per live marker.
#   file      relative to src/self-annotate/src
#   qualname  FULL nested qualname of the governed def (Class.method.inner), NEVER a line number.
#             Collisions within a file: among ALL defs sharing the qualname (trusted or not), the
#             first in source order is bare, the second `#2`, the third `#3`, ...
#   reason    correctness:<name>       never convertible (a correctness wall)      cite REQUIRED
#             cost-scale:<capability>  convertible once <capability> is built     cite REQUIRED
#             spent-rc0                deliberately spent to buy rc=0
#             unclassified             THE DEFAULT; ratcheted toward zero
#   cite      `-`, or a heading of getting-better/driver-backlog.md: the exact heading text, or a
#             substring of exactly ONE heading's text (outside ``` fences).
#
# A correctness:/cost-scale: tag is a CLAIM, and this repo's boundary claims have been refuted
# repeatedly. Tag only with a cite to the paragraph that measured it; when in doubt, unclassified.
file	qualname	reason	cite
audit_proof.py	_index_proofs_dir_by_file	unclassified	-
audit_proof.py	audit_rocq	unclassified	-
audit_proof.py	audit_lean	unclassified	-
audit_proof.py	audit_both	unclassified	-
audit_proof.py	print_report	unclassified	-
audit_proof_reverify.py	ReverifyReport.summary	unclassified	-
audit_proof_reverify.py	_cache_root	unclassified	-
audit_proof_reverify.py	_sha256_file	unclassified	-
audit_proof_reverify.py	_cache_key	unclassified	-
audit_proof_reverify.py	_cache_load	unclassified	-
audit_proof_reverify.py	_cache_store	unclassified	-
audit_proof_reverify.py	_coqc_version	unclassified	-
audit_proof_reverify.py	_lean_version	unclassified	-
audit_proof_reverify.py	verify_rocq_file	unclassified	-
audit_proof_reverify.py	_split_rocq_print_assumptions	unclassified	-
audit_proof_reverify.py	verify_lean_file	unclassified	-
audit_proof_reverify.py	_to_cache_payload	unclassified	-
core_ir_semantic.py	run_ir_semantic_checks	unclassified	-
core_ir_semantic.py	_returns_literal_none	unclassified	-
core_ir_semantic.py	_typeddict_check_subscript	unclassified	-
core_ir_semantic.py	_namedtuple_check_call	unclassified	-
core_ir_semantic.py	_namedtuple_check_subscript	unclassified	-
errors.py	PyCSLError.message	unclassified	-
errors.py	PyCSLError.as_dict	unclassified	-
errors.py	PyCSLError.__str__	cost-scale:string-field-model	the two mirror dunder markers
exception_model.py	bases_closure	unclassified	-
frontend/ConcurrencyChecker.py	ConcurrencyChecker.check	unclassified	-
frontend/ConcurrencyChecker.py	ConcurrencyChecker._check_function	unclassified	-
frontend/ConcurrencyChecker.py	ConcurrencyChecker._walk_stmt	unclassified	-
frontend/ConcurrencyChecker.py	ConcurrencyChecker._warn_if_unprotected	unclassified	-
frontend/ConcurrencyChecker.py	ConcurrencyChecker.summary	unclassified	-
frontend/Module1_Ingestor.py	_match_block_hdr	unclassified	-
frontend/Module1_Ingestor.py	Module1_Ingestor.process	unclassified	-
frontend/Module1_Ingestor.py	_Harvester._make	unclassified	-
frontend/Module1_Ingestor.py	_Harvester._build	unclassified	-
frontend/Module1_Ingestor.py	_Harvester.run	unclassified	-
frontend/Module1_Ingestor.py	_Harvester._assign	unclassified	-
frontend/Module1_Ingestor.py	_Harvester._normalize_leading	unclassified	-
frontend/Module1_Ingestor.py	_Harvester._fold_clauses	unclassified	-
frontend/Module1_Ingestor.py	_Harvester._fold_blocks	unclassified	-
frontend/Module1_Ingestor.py	_Harvester._emit_suite	unclassified	-
frontend/Module1_Ingestor.py	_Harvester._emit_target	unclassified	-
frontend/Module1_Ingestor.py	_Harvester._emit_block_footer	unclassified	-
frontend/Module2_Parser.py	_lex_contract	unclassified	-
frontend/Module2_Parser.py	_ContractParser.__init__	unclassified	-
frontend/Module2_Parser.py	_ContractParser._err	unclassified	-
frontend/Module2_Parser.py	_ContractParser._try	unclassified	-
frontend/Module2_Parser.py	_ContractParser.parse	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_contract	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_trusted	unclassified	-
frontend/Module2_Parser.py	_ContractParser._grab_reviewer_id	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_no_exception	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_assumes	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_assigns	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_assigns_target	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_act_block	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_happy	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_happy_targets	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_datatype	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_variant_def	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_inductive	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_inductive_rules	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_quantifier	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_atom_primary	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_atom_name	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_atom_bs	unclassified	-
frontend/Module2_Parser.py	_ContractParser._parse_expr_list	unclassified	-
frontend/Module2_Parser.py	Module2_Parser.parse_contract	unclassified	-
frontend/Module2_Parser.py	_Tok.__repr__	cost-scale:return-annotation	the two mirror dunder markers
frontend/Module3_Weaver.py	PyCSLWeaver._subst_var	unclassified	-
frontend/Module3_Weaver.py	PyCSLWeaver._desugar_acts	unclassified	-
frontend/Module3_Weaver.py	PyCSLWeaver._extract_mixin_directives	unclassified	-
frontend/Module3_Weaver.py	PyCSLWeaver._dispatch_function_contracts	unclassified	-
frontend/Module3_Weaver.py	PyCSLWeaver._validate_function_contracts	unclassified	-
frontend/Module3_Weaver.py	PyCSLWeaver.visit_FunctionDef	unclassified	-
frontend/Module3_Weaver.py	PyCSLWeaver.visit_Module	unclassified	-
frontend/Module3_Weaver.py	PyCSLWeaver.visit_With	unclassified	-
frontend/Module3_Weaver.py	PyCSLWeaver.visit_ClassDef	unclassified	-
frontend/Module3_Weaver.py	PyCSLWeaver._attach_loop_contracts	unclassified	-
frontend/Module3_Weaver.py	PyCSLWeaver.visit_While	unclassified	-
frontend/Module3_Weaver.py	PyCSLWeaver.visit_For	unclassified	-
frontend/Module3_Weaver.py	Module3_Weaver._parse_extracted_contracts	unclassified	-
frontend/Module3_Weaver.py	Module3_Weaver._consolidate_module_concurrency	unclassified	-
frontend/Module3_Weaver.py	Module3_Weaver._attach_labels_and_ghost_assigns	unclassified	-
frontend/Module3_Weaver.py	Module3_Weaver._extract_happy_properties	unclassified	-
frontend/Module3_Weaver.py	Module3_Weaver._field_write_site	unclassified	-
frontend/Module3_Weaver.py	Module3_Weaver._happy_predicate	unclassified	-
frontend/Module3_Weaver.py	Module3_Weaver._expand_happy_properties	unclassified	-
frontend/Module3_Weaver.py	Module3_Weaver._region_bound_str	unclassified	-
frontend/Module3_Weaver.py	Module3_Weaver._subst_csl_param	unclassified	-
frontend/Module3_Weaver.py	Module3_Weaver._check_protect_aliasing	unclassified	-
frontend/Module3_Weaver.py	Module3_Weaver._subscript_read_site	unclassified	-
frontend/Module3_Weaver.py	Module3_Weaver._collect_self_call_sites	unclassified	-
frontend/Module3_Weaver.py	Module3_Weaver._synthesize_selfcomp	unclassified	-
frontend/Module3_Weaver.py	Module3_Weaver._collect_field_read_sites	unclassified	-
frontend/Module3_Weaver.py	Module3_Weaver.process	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter.__init__	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter.visit_Module	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._get_mutex_invariant_ir	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._csl_in	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._csl_list_to_ir	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._py_expr_call	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._py_expr_fstring	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._py_stmts_to_ir	cost-scale:stmt-handler-dispatch	L2 `_py_stmts_to_ir`
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._match_pattern_to_ir	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._field_type_from_annotation_inst	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._emit_typeddict_record	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._synthesize_typeddict_functional	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._emit_namedtuple_record	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._synthesize_namedtuple_functional	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._emit_protocol_interface	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._populate_protocol_conformance	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._collect_class_fields	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._array_init_size	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter.visit_ClassDef	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._collect_union_arms	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._normalize_union_annotation	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._normalize_literal_annotation	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._encode_callable_annotation	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._m5_get_type_name	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._build_function_symbol_table	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._build_function_ir	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._detect_array_dimensions	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter._detect_seq_promotion	unclassified	-
frontend/Module5_IREmitter.py	PyCSLToJSONEmitter.visit_FunctionDef	unclassified	-
frontend/Module5_IREmitter.py	Module5_IREmitter.generate_json	unclassified	-
frontend/desugar.py	_ChainDesugarer.visit_Compare	unclassified	-
frontend/desugar.py	_try_reaches_assert	unclassified	-
frontend/desugar.py	normalize_stores	unclassified	-
frontend/exec_splice.py	_ExecSplicer.visit_Expr	unclassified	-
frontend/import_classifier.py	_stub_set	unclassified	-
frontend/import_classifier.py	check_imports	unclassified	-
frontend/ir_inline.py	_recursive_methods	unclassified	-
frontend/ir_inline.py	_Inliner._expand	unclassified	-
frontend/ir_inline.py	_Inliner._hoist_calls_in_expr	unclassified	-
frontend/ir_inline.py	_Inliner.inline_stmts	unclassified	-
frontend/ir_inline.py	_inline_calls	unclassified	-
frontend/ir_inline.py	apply_inline_globals	unclassified	-
frontend/ir_resolve.py	_resolve_module_path	unclassified	-
frontend/ir_resolve.py	_get_module_exports	unclassified	-
frontend/ir_resolve.py	_process_dependency	unclassified	-
frontend/ir_resolve.py	_strip_dir_scan_proofs	unclassified	-
frontend/ir_resolve.py	_find_record_type_from_dep_imports	unclassified	-
frontend/ir_resolve.py	_inject_functions	unclassified	-
frontend/ir_resolve.py	_resolve_direct_imports	unclassified	-
frontend/ir_resolve.py	_resolve_wildcard_imports	unclassified	-
frontend/ir_resolve.py	_resolve_module_imports	unclassified	-
frontend/ir_resolve.py	_resolve_imported_classes	unclassified	-
frontend/ir_resolve.py	_resolve_imported_base_classes	unclassified	-
frontend/ir_resolve.py	apply_inheritance	unclassified	-
frontend/ir_resolve.py	apply_composition	unclassified	-
frontend/ir_resolve.py	resolve_imports	unclassified	-
frontend/ir_resolve.py	resolve	unclassified	-
frontend/module_collect.py	collect_module_constants	unclassified	-
frontend/module_collect.py	collect_module_globals	unclassified	-
frontend/monomorphize.py	apply_monomorphization	unclassified	-
frontend/monomorphize.py	_collect_generic_decls	unclassified	-
frontend/monomorphize.py	_collect_instantiations	unclassified	-
frontend/monomorphize.py	_check_gt4_polymorphic_recursion	unclassified	-
frontend/monomorphize.py	_emit_specializations	unclassified	-
frontend/monomorphize.py	_specialize_decl	unclassified	-
frontend/monomorphize.py	_specialize_function	unclassified	-
frontend/monomorphize.py	_rewrite_call_sites	unclassified	-
frontend/monomorphize.py	_rewrite_subscript_calls_in_stmt	unclassified	-
frontend/monomorphize.py	_rewrite_subscript_to_name	unclassified	-
frontend/monomorphize.py	_rewrite_annotations	unclassified	-
frontend/monomorphize.py	_rewrite_annotation_str	unclassified	-
frontend/monomorphize.py	_record_classification	unclassified	-
frontend/pure_ast.py	AST.__init__	unclassified	-
frontend/pure_ast.py	AST.__repr__	unclassified	-
frontend/pure_ast.py	_build_nodes	unclassified	-
frontend/pure_ast.py	_const_value_getter	unclassified	-
frontend/pure_ast.py	_const_value_setter	unclassified	-
frontend/pure_ast.py	_ABC.__instancecheck__	unclassified	-
frontend/pure_ast.py	Ellipsis.__new__	unclassified	-
frontend/pure_ast.py	_Tok.__repr__	unclassified	-
frontend/pure_ast.py	_lex	unclassified	-
frontend/pure_ast.py	Comment.__init__	unclassified	-
frontend/pure_ast.py	Comment.__repr__	unclassified	-
frontend/pure_ast.py	comments	unclassified	-
frontend/pure_ast.py	_Parser.__init__	unclassified	-
frontend/pure_ast.py	_Parser._slice	unclassified	-
frontend/pure_ast.py	_Parser.error	unclassified	-
frontend/pure_ast.py	_Parser.unsupported	unclassified	-
frontend/pure_ast.py	_Parser._fin	unclassified	-
frontend/pure_ast.py	_Parser.node	unclassified	-
frontend/pure_ast.py	_Parser._max_end	unclassified	-
frontend/pure_ast.py	_Parser._fin_block	unclassified	-
frontend/pure_ast.py	_decode_fstring_middle	unclassified	-
frontend/pure_ast.py	_merge_str_constants	unclassified	-
frontend/pure_ast.py	_set_ctx	unclassified	-
frontend/pure_ast.py	_parse_number	unclassified	-
frontend/pure_ast.py	_decode_string	unclassified	-
frontend/pure_ast.py	_decode_escapes	unclassified	-
frontend/pure_ast.py	parse	unclassified	-
frontend/pure_ast.py	literal_eval	unclassified	-
frontend/pure_ast.py	iter_fields	unclassified	-
frontend/pure_ast.py	iter_child_nodes	unclassified	-
frontend/pure_ast.py	walk	unclassified	-
frontend/pure_ast.py	copy_location	unclassified	-
frontend/pure_ast.py	fix_missing_locations	unclassified	-
frontend/pure_ast.py	increment_lineno	unclassified	-
frontend/pure_ast.py	dump	unclassified	-
frontend/pure_ast.py	get_source_segment	unclassified	-
frontend/pure_ast.py	NodeVisitor.visit	unclassified	-
frontend/pure_ast.py	NodeVisitor.generic_visit	unclassified	-
frontend/pure_ast.py	NodeVisitor.visit_Constant	unclassified	-
frontend/pure_ast.py	NodeTransformer.generic_visit	unclassified	-
frontend/pure_ast.py	_Precedence.next	unclassified	-
frontend/pure_ast.py	_Unparser.__init__	unclassified	-
frontend/pure_ast.py	_Unparser.interleave	unclassified	-
frontend/pure_ast.py	_Unparser.items_view	unclassified	-
frontend/pure_ast.py	_Unparser.write	unclassified	-
frontend/pure_ast.py	_Unparser.buffered	unclassified	-
frontend/pure_ast.py	_Unparser.delimit_if	unclassified	-
frontend/pure_ast.py	_Unparser.set_precedence	unclassified	-
frontend/pure_ast.py	_Unparser.get_type_comment	unclassified	-
frontend/pure_ast.py	_Unparser._write_docstring_and_traverse_body	unclassified	-
frontend/pure_ast.py	_Unparser.visit_Module	unclassified	-
frontend/pure_ast.py	_Unparser.visit_If	unclassified	-
frontend/pure_ast.py	_Unparser.visit_Dict	unclassified	-
frontend/pure_ast.py	_Unparser.visit_BoolOp	unclassified	-
frontend/pure_ast.py	_Unparser.visit_arguments	unclassified	-
frontend/pure_ast.py	_Unparser.visit_Lambda	unclassified	-
frontend/pure_ast.py	_Unparser._str_literal_helper	unclassified	-
frontend/pure_ast.py	_Unparser.visit_JoinedStr	unclassified	-
frontend/pure_ast.py	_Unparser._write_fstring_inner	unclassified	-
frontend/pure_ast.py	_Unparser.visit_MatchStar	unclassified	-
frontend/pure_ast.py	_Unparser.visit_MatchMapping	unclassified	-
frontend/pure_ast.py	_Unparser.visit_MatchClass	unclassified	-
frontend/pure_ast.py	unparse	unclassified	-
frontend/pure_ast.py	_self_test	unclassified	-
frontend/pure_ast.py	main	unclassified	-
ir_schema.py	validate_ir	unclassified	-
module6_whyml/abstract_ops.py	AbstractOpsMixin._add_abstract_op	unclassified	-
module6_whyml/abstract_ops.py	AbstractOpsMixin._find_abstract_val_insert_idx	unclassified	-
module6_whyml/abstract_ops.py	AbstractOpsMixin._advance_past_referenced_axiom_decls	unclassified	-
module6_whyml/abstract_ops.py	AbstractOpsMixin._insert_abstract_val_block	unclassified	-
module6_whyml/auto_trust.py	AutoTrustMixin._build_witness_str	unclassified	-
module6_whyml/auto_trust.py	AutoTrustMixin._check_witness_vals	unclassified	-
module6_whyml/auto_trust.py	AutoTrustMixin._should_auto_trust_tuple_return	unclassified	-
module6_whyml/expr_ghost_collections.py	GhostCollectionOpsMixin._e	unclassified	-
module6_whyml/expr_ghost_spec_ops.py	GhostSpecOpsMixin._e	unclassified	-
module6_whyml/expr_ghost_spec_ops.py	GhostSpecOpsMixin._expr_to_whyml_string_ctx	unclassified	-
module6_whyml/expr_ghost_spec_ops.py	GhostSpecOpsMixin._handle_proj_expr	unclassified	-
module6_whyml/expr_ghost_spec_ops.py	GhostSpecOpsMixin._handle_ctor_payload_expr	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._add_abstract_op	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._is_emit_ir_expr	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._e	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._to_bool	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._match_pattern_cond	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._emit_membership	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._emit_bitwise_or_power	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._is_string_expr	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._handle_binop	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._union_local_read_projection	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._iter_len_expr	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._handle_len_call	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._handle_join_call	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._handle_sum_call	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._resolve_dotted_signature	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._handle_dotted_call	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._coerce_dotted_args	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._dotted_ensures_suffix	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._handle_struct_call	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._emit_contract_logic_symbol	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._linear_form	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._static_width	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._handle_call_expr	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._content_string_method	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._call_named_builtins	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._emit_metatype_tags	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._tag_of_value	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._handle_isinstance	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._call_record_constructor	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._call_bytes_methods	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._handle_subscript	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._handle_attribute_expr	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._push_quant_binder	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._pop_quant_binder	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._handle_fstring_expr	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._handle_ifexpr_expr	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._expr_to_whyml	unclassified	-
module6_whyml/expressions.py	ExpressionEmissionMixin._expr_to_whyml_string_ctx	unclassified	-
module6_whyml/functions.py	FunctionEmissionMixin._param_type_str	unclassified	-
module6_whyml/functions.py	FunctionEmissionMixin._reset_function_state	unclassified	-
module6_whyml/functions.py	FunctionEmissionMixin._emit_contracts	unclassified	-
module6_whyml/functions.py	FunctionEmissionMixin._emit_narrowing_vc	unclassified	-
module6_whyml/functions.py	FunctionEmissionMixin._emit_union_arm_vc	unclassified	-
module6_whyml/functions.py	FunctionEmissionMixin._emit_function	unclassified	-
module6_whyml/functions.py	FunctionEmissionMixin._emit_subtyping_goals	unclassified	-
module6_whyml/functions.py	FunctionEmissionMixin._render_refinement_goal	unclassified	-
module6_whyml/functions.py	FunctionEmissionMixin._parse_mixin_sig	unclassified	-
module6_whyml/functions.py	FunctionEmissionMixin._mixin_dep_pseudo_functions	unclassified	-
module6_whyml/identifiers.py	stable_hash	unclassified	-
module6_whyml/identifiers.py	whyml_ident	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._scan_preamble_needs	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._emit_preamble_uses	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._emit_preamble_exceptions	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._precompute_axiom_logic_funcs	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._emit_class_inv_axioms	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._emit_preamble_axioms	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._emit_preamble_no_exception_predicates	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._emit_preamble	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._emit_shared_state	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._mutex_inv_application	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._inductive_referenced_axiom_decls	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._emit_uncited_axiom_func_decls	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._emit_inductive_decls	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._subst_self_in_expr	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._fresh_globals_facts	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._emit_module_globals	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._emit_type_decls	unclassified	-
module6_whyml/preamble.py	PreambleEmissionMixin._emit_opaque_class_aliases	unclassified	-
module6_whyml/scc.py	compute_sccs	unclassified	-
module6_whyml/scc.py	sort_functions_by_scc	unclassified	-
module6_whyml/statements.py	StatementEmissionMixin._add_abstract_op	unclassified	-
module6_whyml/statements.py	StatementEmissionMixin._resolve_dotted_signature	unclassified	-
module6_whyml/statements.py	StatementEmissionMixin._is_emit_ir_expr	unclassified	-
module6_whyml/statements.py	StatementEmissionMixin._coerce_to_int	unclassified	-
module6_whyml/statements.py	StatementEmissionMixin._expr_to_whyml	unclassified	-
module6_whyml/statements.py	StatementEmissionMixin._expr_to_whyml_string_ctx	unclassified	-
module6_whyml/statements.py	StatementEmissionMixin._is_string_expr	unclassified	-
module6_whyml/statements.py	StatementEmissionMixin._track_collection_metadata	unclassified	-
module6_whyml/statements.py	StatementEmissionMixin._e	unclassified	-
module6_whyml/statements.py	StatementEmissionMixin._maybe_emit_no_exception_assert	unclassified	-
module6_whyml/statements.py	StatementEmissionMixin._mutex_inv_application	unclassified	-
module6_whyml/statements.py	StatementEmissionMixin._handle_return_stmt	unclassified	-
module6_whyml/statements.py	StatementEmissionMixin._emit_first_assign	unclassified	-
